slug,food_name,common_portion,portion_grams,protein_g_per_100g,calories_per_100g,total_fat_g_per_100g,saturated_fat_g_per_100g,total_carbs_g_per_100g,fiber_g_per_100g,sugars_g_per_100g,sodium_mg_per_100g,usda_fdc_id,usda_data_type,last_verified,report_url
parmesan,Parmesan,1 oz (28 g),28,35.8,392,25,14.9,3.2,0,0.1,1175,170848,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/parmesan
bacon,Bacon,2 slices cooked (16 g),16,35.7,548,43.3,14.2,1.4,0,0,2193,167914,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/bacon
chicken-breast,Chicken breast,3 oz cooked (85 g),85,31,165,3.6,1,0,0,0,74,171477,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/chicken-breast
pumpkin-seeds,Pumpkin seeds,1 oz (28 g),28,30.2,559,49.1,8.7,10.7,6,1.4,7,170556,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/pumpkin-seeds
sirloin-steak,Steak,3 oz cooked (85 g),85,29,219,10.5,4.1,0,0,0,58,169458,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/sirloin-steak
ground-turkey,Ground turkey,3 oz cooked (85 g),85,27.4,203,10.4,2.7,0,0,0,78,171506,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/ground-turkey
ribeye,Ribeye,3 oz cooked (85 g),85,27.3,249,14.7,5.7,0,0,0,56,169557,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/ribeye
rotisserie-chicken,Rotisserie chicken,3 oz (85 g),85,26.4,175,7.7,2,0.1,0,0.1,329,171125,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/rotisserie-chicken
tilapia,Tilapia,3 oz cooked (85 g),85,26.2,128,2.7,0.9,0,0,0,56,175177,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/tilapia
ground-beef-80-20,Ground beef (80/20),3 oz cooked (85 g),85,25.8,270,17.8,6.8,0,0,0,75,171797,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/ground-beef-80-20
canned-tuna,Canned tuna,3 oz drained (85 g),85,25.5,116,0.8,0.2,0,0,0,50,171986,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/canned-tuna
ground-beef-90-10,Ground beef (90/10),3 oz cooked (85 g),85,25.2,204,10.7,4.2,0,0,0,75,171793,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/ground-beef-90-10
chicken-thigh,Chicken thigh,3 oz cooked (85 g),85,24.8,179,8.2,2.3,0,0,0,106,172388,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/chicken-thigh
pork-chop,Pork chop,3 oz cooked (85 g),85,24.7,202,11.1,3.3,0.8,0,0,58,168380,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/pork-chop
sardines,Sardines,"1 can drained (3.75 oz, 92 g)",92,24.6,208,11.5,1.5,0,0,0,307,175139,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/sardines
peanuts,Peanuts,1 oz (28 g),28,24.4,587,49.7,7.7,21.3,8.4,4.9,6,173806,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/peanuts
cheddar-cheese,Cheddar cheese,1 oz (28 g),28,24.3,410,33.8,19.4,2.1,0,0.3,644,170899,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/cheddar-cheese
mozzarella,Mozzarella,1 oz / 1 stick (28 g),28,24.3,254,15.9,10.1,2.8,0,1.1,619,170847,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/mozzarella
shrimp,Shrimp,3 oz cooked (85 g),85,24,99,0.3,0.1,0.2,,,111,175180,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/shrimp
cod,Cod,3 oz cooked (85 g),85,22.8,105,0.9,0.2,0,0,0,78,171956,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/cod
peanut-butter,Peanut butter,2 tbsp (32 g),32,22.2,598,51.4,10.3,22.3,5,10.5,17,172470,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/peanut-butter
salmon,Salmon,3 oz cooked (85 g),85,22.1,206,12.4,2.4,0,0,0,61,175168,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/salmon
almonds,Almonds,"1 oz (28 g, ~23 nuts)",28,21.2,579,49.9,3.8,21.6,12.5,4.4,1,170567,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/almonds
tempeh,Tempeh,3 oz (85 g),85,20.3,192,10.8,2.5,7.6,,,9,174272,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/tempeh
breakfast-sausage,Breakfast sausage,2 links (~48 g),48,18.5,325,27.3,8.8,1.4,0,1.1,814,174578,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/breakfast-sausage
cashews,Cashews,"1 oz (28 g, ~18 nuts)",28,18.2,553,43.9,7.8,30.2,3.3,5.9,12,170162,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/cashews
tofu,Tofu,3 oz (85 g),85,17.3,144,8.7,1.3,2.8,2.3,,14,172475,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/tofu
oats,Oats,1/2 cup dry (40 g),40,16.9,389,6.9,1.2,66.3,10.6,,2,169705,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/oats
ham,Ham,3 oz (85 g),85,16.6,164,8.8,0.5,3.6,1.3,1,814,173864,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/ham
chia-seeds,Chia seeds,"1 oz (28 g, ~2.5 tbsp)",28,16.5,486,30.7,3.3,42.1,34.4,,16,170554,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/chia-seeds
walnuts,Walnuts,"1 oz (28 g, ~14 halves)",28,15.2,654,65.2,6.1,13.7,6.7,2.6,2,170187,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/walnuts
turkey-breast,Turkey breast (deli),2 oz (56 g),56,14.8,106,3.8,0.9,2.2,0,0.9,898,172941,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/turkey-breast
feta,Feta,1 oz (28 g),28,14.2,265,21.5,13.3,3.9,0,0,1139,173420,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/feta
egg,Egg,1 large egg (50 g),50,12.6,143,9.5,3.1,0.7,0,0.4,142,171287,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/egg
whole-wheat-bread,Whole wheat bread,1 slice (28 g),28,12.5,252,3.5,0.7,42.7,6,4.3,455,172688,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/whole-wheat-bread
cottage-cheese,Cottage cheese,1/2 cup (113 g),113,12.4,72,1,0.6,2.7,0,2.7,406,173417,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/cottage-cheese
edamame,Edamame,1/2 cup (75 g),75,11.9,121,5.2,0.6,8.9,5.2,2.2,6,168411,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/edamame
ricotta,Ricotta,1/2 cup (124 g),124,11.4,138,7.9,4.9,5.1,0,0.3,99,171248,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/ricotta
egg-whites,Egg whites,"3 tbsp (46 g, ≈1 white)",46,10.9,52,0.2,0,0.7,0,0.7,166,172183,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/egg-whites
greek-yogurt,Greek yogurt,1 cup (245 g),245,10,73,1.9,1.2,3.9,0,3.6,34,170903,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/greek-yogurt
lentils,Lentils,1/2 cup cooked (99 g),99,9,116,0.4,0.1,20.1,7.9,1.8,2,172421,SR Legacy,2026-06-03,https://labelgrade.com/protein-in/lentils
