slug,brand,product_name,category,upc,usda_fdc_id,serving_size,servings_per_package,calories,protein_g,total_fat_g,saturated_fat_g,total_carbs_g,fiber_g,sugars_g,added_sugars_g,sodium_mg,score,grade,protein_density_score,ingredient_quality_score,sugar_load_score,sodium_load_score,fiber_score,saturated_fat_score,last_verified,report_url
vega-vanilla-chai-one-all-in-nutritional-shake-drink-mix-1-6-oz-44-g,Vega,"Vega One All-in-One Nutritional Shake, Vanilla Chai",Protein Powder,838766005386,2466369,1 packet (44 g),,170,20,6,0.502,10,5.98,0.999,,19.8,94,A,100,78,97,100,100,94,2026-05-28,https://labelgrade.com/vega-vanilla-chai-one-all-in-nutritional-shake-drink-mix-1-6-oz-44-g
banza-chickpeas-pasta-penne-8-oz-227-g,Banza,"Chickpeas Pasta, Penne",Pasta by Shape & Type,857183005007,2669985,2 oz dry,,190,13,3.5,0,32,4.98,2,0,44.8,92,A,85,82,96,100,92,100,2026-06-03,https://labelgrade.com/banza-chickpeas-pasta-penne-8-oz-227-g
lightlife-organic-three-grains-tempeh-8-oz-227-g,Lightlife,"Lightlife, Organic Three Grains Tempeh",Other Meats,043454464509,1849931,3 oz,,170,16,5,1,14,5.96,0,,10.1,90,A,79,86,100,100,80,94,2026-06-03,https://labelgrade.com/lightlife-organic-three-grains-tempeh-8-oz-227-g
ascent-cappuccino-native-fuel-protein-powder-blend-whey-1-09-oz-31-g,Ascent,"Ascent Native Fuel Whey Protein, Cappuccino",Protein Powder,815863020252,2474917,1 packet (31 g),,120,25,1,0,2,0.992,1,,40,89,A-,100,78,96,87,52,100,2026-05-28,https://labelgrade.com/ascent-cappuccino-native-fuel-protein-powder-blend-whey-1-09-oz-31-g
barilla-thin-spaghetti-13-25-oz-375-g,Barilla,Thin Spaghetti,Pasta & Noodles,076808534139,2017770,2 oz,,200,7,1.5,0,41,5.99,2,,10.1,89,A-,69,83,96,100,100,100,2026-06-05,https://labelgrade.com/barilla-thin-spaghetti-13-25-oz-375-g
mccanns-quick-and-easy-steel-cut-irish-oatmeal-24-oz-680-g,Mccann'S,"Mccann'S, Quick & Easy Steel Cut Irish Oatmeal",Cereal,072463000583,2056742,0.25 cup,,150,4,2.5,0.5,27,4,1,,0,88,A-,65,88,97,100,100,93,2026-06-05,https://labelgrade.com/mccanns-quick-and-easy-steel-cut-irish-oatmeal-24-oz-680-g
orgain-plant-based-protein-powder-vanilla-1-02-lbs-462-g,Orgain,"Plant Based Protein Powder, Vanilla","Energy, Protein & Muscle Recovery Drinks",851770003889,2488913,2 ROUNDED SCOOPS,,150,20,4,0,13,5.01,0.998,,180,88,A-,100,72,97,60,100,100,2026-06-03,https://labelgrade.com/orgain-plant-based-protein-powder-vanilla-1-02-lbs-462-g
quaker-oats-old-fashioned-42-oz-onz,Quaker,Quaker Old Fashioned Oats,Oats & Hot Cereal,00030000010402,2723877,1/2 cup dry (40 g),,150,5,3,0.5,27,4,1,0,0,88,A-,69,83,97,100,100,93,2026-05-28,https://labelgrade.com/quaker-oats-old-fashioned-42-oz-onz
ratio-fiber-and-protein-vanilla-dairy-snack-5-3-onz,Ratio,:Ratio Fiber And Protein Vanilla Dairy Snack,Yogurt/Yogurt Substitutes,00070470230061,2751827,1 container,,180,20,3.5,1.5,21,10,3,0,90,87,A-,70,82,100,100,77,95,2026-06-03,https://labelgrade.com/ratio-fiber-and-protein-vanilla-dairy-snack-5-3-onz
crazy-richards-creamy-natural-peanut-butter-16-oz-1-lb-453-g,Crazy Richard's,Creamy Natural Peanut Butter,Nut & Seed Butters,074822610631,2383727,2 Tbsp,,180,8,16,2,5,3.01,2,,0,86,A-,88,83,92,100,96,64,2026-06-05,https://labelgrade.com/crazy-richards-creamy-natural-peanut-butter-16-oz-1-lb-453-g
house-foods-tofu-8-oz-226-g,House Foods,House Foods Organic Tofu,Tofu & Plant Protein,076371031103,1851491,3 oz (85 g),,120,14,7,1,2,2.04,1,,0,86,A-,75,86,99,100,47,94,2026-05-28,https://labelgrade.com/house-foods-tofu-8-oz-226-g
catalina-crunch-chocolate-banana-cereal-9-oz-255-g,Catalina Crunch,Catalina Crunch Chocolate Banana Cereal,Cereal,860479001584,2653512,1/2 cup (36 g),,110,11,6,1,14,9,0,0,125,85,A-,96,75,100,64,100,82,2026-05-28,https://labelgrade.com/catalina-crunch-chocolate-banana-cereal-9-oz-255-g
dannon-oikos-triple-zero-blended-nonfat-greek-yogurt-cherry-5-3-oz-150-g,Dannon,"Oikos Triple Zero Blended Nonfat Greek Yogurt, Cherry",Greek Yogurt,036632019912,2619047,1 cup (150 g),,120,15,0,0,14,6,6,,64.5,85,A-,65,83,100,100,58,100,2026-05-28,https://labelgrade.com/dannon-oikos-triple-zero-blended-nonfat-greek-yogurt-cherry-5-3-oz-150-g
goya-black-beans-822-g,Goya,Black Beans,Canned & Bottled Beans,041331023658,1762335,0.5 cup,,100,7,0,0,18,8.05,0,,120,85,A-,59,81,100,100,76,100,2026-06-05,https://labelgrade.com/goya-black-beans-822-g
